client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,dirichlet_alpha
0,1293,1.5046456920646745,0,16,8,0,0,3,200,0,16,0,21,38,0,99,0,519,0,0,10,363,0.0,0.01237432327919567,0.006187161639597835,0.0,0.0,0.002320185614849188,0.15467904098994587,0.0,0.01237432327919567,0.0,0.016241299303944315,0.029389017788089715,0.0,0.0765661252900232,0.0,0.4013921113689095,0.0,0.0,0.007733952049497293,0.28074245939675174,0.1
1,2538,1.0141003717374137,0,545,58,0,91,21,0,169,0,113,0,489,0,219,740,0,27,17,5,44,0.0,0.21473601260835304,0.022852639873916468,0.0,0.035855003940110326,0.008274231678486997,0.0,0.06658786446020488,0.0,0.04452324665090623,0.0,0.19267139479905437,0.0,0.08628841607565012,0.2915681639085894,0.0,0.010638297872340425,0.006698187549251379,0.001970055161544523,0.017336485421591805,0.1
2,1834,1.6477845218138445,639,0,141,0,600,404,0,0,0,0,0,1,37,0,7,5,0,0,0,0,0.3484187568157034,0.0,0.07688113413304253,0.0,0.3271537622682661,0.2202835332606325,0.0,0.0,0.0,0.0,0.0,0.0005452562704471102,0.020174482006543076,0.0,0.003816793893129771,0.0027262813522355507,0.0,0.0,0.0,0.0,0.1
3,1670,1.1838943813129352,0,206,31,69,1,0,0,525,4,0,177,203,9,24,0,0,0,421,0,0,0.0,0.12335329341317365,0.018562874251497007,0.04131736526946108,0.0005988023952095808,0.0,0.0,0.3143712574850299,0.0023952095808383233,0.0,0.1059880239520958,0.12155688622754492,0.005389221556886228,0.01437125748502994,0.0,0.0,0.0,0.25209580838323353,0.0,0.0,0.1
4,1779,1.3833439476535525,0,0,0,0,57,219,0,0,512,658,254,23,0,10,1,0,0,1,39,5,0.0,0.0,0.0,0.0,0.03204047217537943,0.12310286677908938,0.0,0.0,0.28780213603147836,0.3698707138842046,0.1427768409218662,0.012928611579539067,0.0,0.005621135469364812,0.0005621135469364812,0.0,0.0,0.0005621135469364812,0.021922428330522766,0.002810567734682406,0.1
5,1046,2.051432959221652,0,0,0,430,1,5,0,10,36,0,0,0,0,0,0,0,553,11,0,0,0.0,0.0,0.0,0.4110898661567878,0.0009560229445506692,0.004780114722753346,0.0,0.009560229445506692,0.03441682600382409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52868068833652,0.010516252390057362,0.0,0.0,0.1
6,1613,1.6794487840585324,0,0,549,0,0,0,0,0,229,0,0,0,0,299,0,2,5,0,529,0,0.0,0.0,0.34035957842529446,0.0,0.0,0.0,0.0,0.0,0.14197148171109733,0.0,0.0,0.0,0.0,0.18536887786732795,0.0,0.0012399256044637321,0.0030998140111593306,0.0,0.32796032238065714,0.0,0.1
7,611,1.4401415554903265,0,10,0,15,16,0,0,88,0,0,0,29,0,138,0,24,3,287,1,0,0.0,0.016366612111292964,0.0,0.024549918166939442,0.02618657937806874,0.0,0.0,0.14402618657937807,0.0,0.0,0.0,0.04746317512274959,0.0,0.22585924713584288,0.0,0.03927986906710311,0.004909983633387889,0.469721767594108,0.0016366612111292963,0.0,0.1
8,1974,1.3519998787957122,0,1,0,272,3,138,580,0,0,24,0,0,741,3,42,15,140,0,3,12,0.0,0.0005065856129685917,0.0,0.13779128672745694,0.001519756838905775,0.06990881458966565,0.2938196555217832,0.0,0.0,0.0121580547112462,0.0,0.0,0.37537993920972645,0.001519756838905775,0.02127659574468085,0.007598784194528876,0.07092198581560284,0.0,0.001519756838905775,0.0060790273556231,0.1
9,718,1.7434938247202831,0,0,1,0,1,0,0,0,0,0,347,10,0,0,0,233,0,15,33,78,0.0,0.0,0.001392757660167131,0.0,0.001392757660167131,0.0,0.0,0.0,0.0,0.0,0.4832869080779944,0.013927576601671309,0.0,0.0,0.0,0.3245125348189415,0.0,0.020891364902506964,0.04596100278551532,0.10863509749303621,0.1
