client_id,round,contribution,scaled_contribution,data_size
3,1,82.9648208618164,0.30749466950959486,31902
3,3,67.12014770507812,0.7446426673324451,31902
3,5,61.532318115234375,0.3360486985029918,31902
5,1,83.46040344238281,1.0,31901
5,2,71.46780395507812,0.20035974059851613,31901
5,3,63.67276382446289,0.0,31901
5,4,60.83577346801758,0.0,31901
2,1,83.10015869140625,0.4966098081023454,31902
2,2,70.9638442993164,0.0,31902
2,4,63.103755950927734,0.4665784056673293,31902
2,5,60.481266021728516,0.0,31902
4,1,82.74476623535156,0.0,31901
4,5,63.608943939208984,1.0,31901
6,2,73.47911834716797,1.0,31901
6,3,65.7649917602539,0.45192593709547574,31901
1,2,73.44767761230469,0.9875000758306489,31902
7,3,68.3023452758789,1.0,31901
7,4,63.94047164916992,0.6387108976175023,31901
0,4,65.6966552734375,1.0,31902
0,5,62.646976470947266,0.6924339738163829,31902
