client_id,class_id,count
0,0,14
0,1,307
0,2,5
0,3,0
0,4,236
0,5,89
0,6,249
0,7,40
0,8,188
0,9,12
0,10,456
0,11,400
0,12,375
0,13,419
0,14,38
0,15,59
0,16,271
0,17,1
0,18,168
0,19,308
1,0,44
1,1,99
1,2,524
1,3,136
1,4,214
1,5,357
1,6,148
1,7,346
1,8,74
1,9,2
1,10,89
1,11,7
1,12,41
1,13,188
1,14,79
1,15,12
1,16,30
1,17,3
1,18,292
1,19,28
2,0,576
2,1,217
2,2,235
2,3,229
2,4,81
2,5,295
2,6,306
2,7,145
2,8,198
2,9,313
2,10,38
2,11,3
2,12,9
2,13,20
2,14,65
2,15,354
2,16,111
2,17,0
2,18,22
2,19,2
3,0,1
3,1,152
3,2,16
3,3,298
3,4,135
3,5,20
3,6,11
3,7,23
3,8,6
3,9,452
3,10,14
3,11,34
3,12,121
3,13,162
3,14,564
3,15,262
3,16,287
3,17,81
3,18,31
3,19,62
4,0,4
4,1,3
4,2,8
4,3,123
4,4,104
4,5,29
4,6,66
4,7,238
4,8,331
4,9,16
4,10,202
4,11,349
4,12,241
4,13,3
4,14,44
4,15,111
4,16,29
4,17,667
4,18,107
4,19,102
