client_id,class_id,count
0,0,14
0,1,166
0,2,14
0,3,74
0,4,151
0,5,465
0,6,11
0,7,20
0,8,461
0,9,19
0,10,678
0,11,652
0,12,332
0,13,270
0,14,543
0,15,8
0,16,146
0,17,275
0,18,185
0,19,251
1,0,45
1,1,432
1,2,0
1,3,255
1,4,538
1,5,26
1,6,16
1,7,634
1,8,15
1,9,550
1,10,110
1,11,31
1,12,175
1,13,304
1,14,216
1,15,652
1,16,461
1,17,374
1,18,130
1,19,40
2,0,580
2,1,180
2,2,774
2,3,457
2,4,81
2,5,299
2,6,753
2,7,138
2,8,321
2,9,226
2,10,11
2,11,110
2,12,280
2,13,218
2,14,31
2,15,138
2,16,121
2,17,103
2,18,305
2,19,211
