client_id,class_id,count
0,0,13
0,1,81
0,2,121
0,3,1
0,4,112
0,5,10
0,6,377
0,7,14
0,8,22
0,9,153
0,10,142
0,11,29
0,12,168
0,13,17
0,14,6
0,15,12
0,16,46
0,17,26
0,18,63
0,19,7
1,0,41
1,1,423
1,2,173
1,3,27
1,4,87
1,5,15
1,6,20
1,7,21
1,8,1
1,9,27
1,10,103
1,11,24
1,12,385
1,13,117
1,14,259
1,15,261
1,16,4
1,17,70
1,18,3
1,19,46
2,0,531
2,1,1
2,2,15
2,3,2
2,4,13
2,5,337
2,6,44
2,7,114
2,8,7
2,9,34
2,10,129
2,11,18
2,12,83
2,13,28
2,14,185
2,15,209
2,16,325
2,17,0
2,18,112
2,19,26
3,0,1
3,1,227
3,2,387
3,3,223
3,4,0
3,5,92
3,6,195
3,7,398
3,8,335
3,9,18
3,10,1
3,11,390
3,12,104
3,13,0
3,14,15
3,15,166
3,16,5
3,17,87
3,18,27
3,19,63
4,0,3
4,1,34
4,2,15
4,3,1
4,4,442
4,5,182
4,6,57
4,7,13
4,8,1
4,9,432
4,10,11
4,11,31
4,12,3
4,13,407
4,14,11
4,15,12
4,16,274
4,17,116
4,18,282
4,19,338
5,0,8
5,1,4
5,2,33
5,3,492
5,4,52
5,5,9
5,6,78
5,7,61
5,8,428
5,9,6
5,10,168
5,11,300
5,12,1
5,13,13
5,14,270
5,15,58
5,16,1
5,17,78
5,18,48
5,19,22
6,0,42
6,1,8
6,2,44
6,3,40
6,4,64
6,5,145
6,6,9
6,7,171
6,8,3
6,9,125
6,10,245
6,11,1
6,12,43
6,13,210
6,14,44
6,15,80
6,16,73
6,17,375
6,18,85
6,19,0
