client_id,class_id,count
0,0,14
0,1,82
0,2,128
0,3,1
0,4,123
0,5,354
0,6,41
0,7,562
0,8,6
0,9,182
0,10,205
0,11,29
0,12,66
0,13,137
0,14,138
0,15,65
0,16,36
0,17,10
0,18,234
0,19,24
1,0,44
1,1,427
1,2,183
1,3,29
1,4,94
1,5,3
1,6,40
1,7,8
1,8,12
1,9,32
1,10,148
1,11,24
1,12,307
1,13,538
1,14,1
1,15,49
1,16,484
1,17,29
1,18,40
1,19,298
2,0,569
2,1,1
2,2,16
2,3,2
2,4,14
2,5,3
2,6,76
2,7,1
2,8,664
2,9,41
2,10,186
2,11,18
2,12,87
2,13,24
2,14,188
2,15,128
2,16,51
2,17,285
2,18,35
2,19,4
3,0,1
3,1,229
3,2,410
3,3,234
3,4,0
3,5,154
3,6,2
3,7,156
3,8,53
3,9,21
3,10,2
3,11,391
3,12,163
3,13,69
3,14,97
3,15,154
3,16,0
3,17,21
3,18,77
3,19,12
4,0,3
4,1,34
4,2,16
4,3,2
4,4,483
4,5,4
4,6,594
4,7,49
4,8,51
4,9,512
4,10,16
4,11,31
4,12,10
4,13,11
4,14,311
4,15,350
4,16,89
4,17,159
4,18,95
4,19,93
5,0,8
5,1,5
5,2,35
5,3,518
5,4,56
5,5,272
5,6,27
5,7,16
5,8,11
5,9,7
5,10,242
5,11,300
5,12,154
5,13,13
5,14,55
5,15,52
5,16,68
5,17,248
5,18,139
5,19,71
