client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,dirichlet_alpha
0,1187,0.6187206121640906,12,70,79,0,1,84,232,13,129,57,0,1,0,53,177,92,151,9,0,27,0.010109519797809604,0.05897219882055602,0.06655433866891322,0.0,0.0008424599831508003,0.07076663858466722,0.1954507160909857,0.010951979780960405,0.10867733782645324,0.04802021903959562,0.0,0.0008424599831508003,0.0,0.04465037910699242,0.14911541701769165,0.07750631844987363,0.12721145745577084,0.007582139848357203,0.0,0.02274641954507161,0.5
1,1878,0.47802093480492985,39,367,114,16,123,284,6,180,29,142,143,115,85,20,3,2,0,61,119,30,0.020766773162939296,0.1954206602768903,0.06070287539936102,0.008519701810436636,0.06549520766773163,0.15122470713525027,0.003194888178913738,0.09584664536741214,0.0154419595314164,0.07561235356762513,0.07614483493077742,0.061235356762513314,0.045260915867944625,0.010649627263045794,0.001597444089456869,0.0010649627263045794,0.0,0.03248136315228967,0.06336528221512247,0.01597444089456869,0.5
2,1725,0.8999066589332888,501,1,10,1,352,18,18,3,18,64,5,164,107,137,146,1,129,3,2,45,0.29043478260869565,0.0005797101449275362,0.005797101449275362,0.0005797101449275362,0.20405797101449274,0.010434782608695653,0.010434782608695653,0.0017391304347826088,0.010434782608695653,0.03710144927536232,0.002898550724637681,0.09507246376811594,0.06202898550724638,0.07942028985507246,0.08463768115942029,0.0005797101449275362,0.07478260869565218,0.0017391304347826088,0.0011594202898550724,0.02608695652173913,0.5
3,1687,0.6229648901863554,1,197,255,127,38,199,41,365,85,0,17,144,87,8,3,13,6,1,86,14,0.0005927682276229994,0.11677534084173088,0.15115589804386484,0.07528156490812092,0.022525192649673977,0.11796087729697688,0.024303497332542976,0.2163604030823948,0.05038529934795495,0.0,0.01007705986959099,0.08535862477771192,0.051570835803200946,0.004742145820983995,0.0017783046828689982,0.007705986959098993,0.0035566093657379964,0.0005927682276229994,0.05097806757557795,0.008298755186721992,0.5
4,1042,0.8381457281123131,3,30,10,1,103,1,1,15,177,10,86,4,4,346,35,49,22,68,1,76,0.0028790786948176585,0.028790786948176585,0.009596928982725527,0.0009596928982725527,0.09884836852207293,0.0009596928982725527,0.0009596928982725527,0.014395393474088292,0.16986564299424184,0.009596928982725527,0.08253358925143954,0.003838771593090211,0.003838771593090211,0.33205374280230326,0.03358925143953935,0.04702495201535509,0.02111324376199616,0.06525911708253358,0.0009596928982725527,0.07293666026871401,0.5
5,1494,0.7897474031030653,8,4,22,281,32,18,38,64,262,10,0,13,2,63,20,55,208,0,312,82,0.00535475234270415,0.002677376171352075,0.014725568942436412,0.18808567603748327,0.0214190093708166,0.012048192771084338,0.025435073627844713,0.0428380187416332,0.1753681392235609,0.006693440428380187,0.0,0.008701472556894244,0.0013386880856760374,0.04216867469879518,0.013386880856760375,0.03681392235609103,0.1392235609103079,0.0,0.20883534136546184,0.05488621151271754,0.5
6,1844,0.9338712932035625,39,7,29,23,8,161,9,2,20,462,300,58,0,3,33,29,137,505,3,16,0.021149674620390455,0.003796095444685466,0.015726681127982648,0.012472885032537961,0.004338394793926247,0.08731019522776573,0.004880694143167028,0.0010845986984815619,0.010845986984815618,0.25054229934924077,0.16268980477223427,0.031453362255965296,0.0,0.0016268980477223427,0.01789587852494577,0.015726681127982648,0.07429501084598698,0.2738611713665944,0.0016268980477223427,0.008676789587852495,0.5
7,1553,0.35842730551157276,18,62,27,81,68,0,17,132,29,35,8,182,253,57,208,149,42,61,43,81,0.01159047005795235,0.03992273019961365,0.017385705086928525,0.05215711526078558,0.0437862202189311,0.0,0.010946555054732776,0.0849967804249839,0.018673535093367676,0.022537025112685124,0.0051513200257566,0.11719253058596266,0.16291049581455247,0.03670315518351577,0.1339343206696716,0.09594333547971667,0.02704443013522215,0.039278815196394076,0.027688345138441726,0.05215711526078558,0.5
8,1730,0.549567029029403,18,36,133,220,45,3,405,3,38,3,71,33,247,42,62,213,30,20,48,60,0.010404624277456647,0.020809248554913295,0.07687861271676301,0.12716763005780346,0.02601156069364162,0.0017341040462427746,0.23410404624277456,0.0017341040462427746,0.021965317919075144,0.0017341040462427746,0.041040462427745665,0.01907514450867052,0.14277456647398845,0.024277456647398842,0.035838150289017344,0.12312138728323699,0.017341040462427744,0.011560693641618497,0.027745664739884393,0.03468208092485549,0.5
9,936,0.6425484316654415,0,4,109,36,0,22,13,15,10,12,169,79,2,63,103,195,3,24,6,71,0.0,0.004273504273504274,0.11645299145299146,0.038461538461538464,0.0,0.023504273504273504,0.013888888888888888,0.016025641025641024,0.010683760683760684,0.01282051282051282,0.18055555555555555,0.08440170940170941,0.002136752136752137,0.0673076923076923,0.11004273504273504,0.20833333333333334,0.003205128205128205,0.02564102564102564,0.00641025641025641,0.07585470085470085,0.5
