=== Data Distribution Summary ===

Number of clients: 9

Samples per client:
 client_id  train_samples  val_samples  test_samples
         0         287113        13368         11490
         1         287113        13368         11490
         2         287113        13368         11490
         3         287113        13368         11490
         4         287113        13368         11490
         5         287113        13368         11490
         6         287113        13368         11490
         7         287113        13368         11490
         8         287113        13368         11490

Average text length per client:
 client_id  avg_train_length  avg_val_length  avg_test_length
         0        691.870326      676.026406        55.009312
         1        691.870326      676.026406        55.009312
         2        691.870326      676.026406        55.009312
         3        691.870326      676.026406        55.009312
         4        691.870326      676.026406        55.009312
         5        691.870326      676.026406        55.009312
         6        691.870326      676.026406        55.009312
         7        691.870326      676.026406        55.009312
         8        691.870326      676.026406        55.009312
