client_id,class_id,count
0,0,0
0,1,16
0,2,8
0,3,0
0,4,0
0,5,3
0,6,200
0,7,0
0,8,16
0,9,0
0,10,21
0,11,38
0,12,0
0,13,99
0,14,0
0,15,519
0,16,0
0,17,0
0,18,10
0,19,363
1,0,0
1,1,545
1,2,58
1,3,0
1,4,91
1,5,21
1,6,0
1,7,169
1,8,0
1,9,113
1,10,0
1,11,489
1,12,0
1,13,219
1,14,740
1,15,0
1,16,27
1,17,17
1,18,5
1,19,44
2,0,639
2,1,0
2,2,141
2,3,0
2,4,600
2,5,404
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,1
2,12,37
2,13,0
2,14,7
2,15,5
2,16,0
2,17,0
2,18,0
2,19,0
3,0,0
3,1,206
3,2,31
3,3,69
3,4,1
3,5,0
3,6,0
3,7,525
3,8,4
3,9,0
3,10,177
3,11,203
3,12,9
3,13,24
3,14,0
3,15,0
3,16,0
3,17,421
3,18,0
3,19,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,57
4,5,219
4,6,0
4,7,0
4,8,512
4,9,658
4,10,254
4,11,23
4,12,0
4,13,10
4,14,1
4,15,0
4,16,0
4,17,1
4,18,39
4,19,5
5,0,0
5,1,0
5,2,0
5,3,430
5,4,1
5,5,5
5,6,0
5,7,10
5,8,36
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,553
5,17,11
5,18,0
5,19,0
6,0,0
6,1,0
6,2,549
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,229
6,9,0
6,10,0
6,11,0
6,12,0
6,13,299
6,14,0
6,15,2
6,16,5
6,17,0
6,18,529
6,19,0
7,0,0
7,1,10
7,2,0
7,3,15
7,4,16
7,5,0
7,6,0
7,7,88
7,8,0
7,9,0
7,10,0
7,11,29
7,12,0
7,13,138
7,14,0
7,15,24
7,16,3
7,17,287
7,18,1
7,19,0
8,0,0
8,1,1
8,2,0
8,3,272
8,4,3
8,5,138
8,6,580
8,7,0
8,8,0
8,9,24
8,10,0
8,11,0
8,12,741
8,13,3
8,14,42
8,15,15
8,16,140
8,17,0
8,18,3
8,19,12
9,0,0
9,1,0
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,347
9,11,10
9,12,0
9,13,0
9,14,0
9,15,233
9,16,0
9,17,15
9,18,33
9,19,78
