client_id,train_size,train_prop,test_size,test_prop
0,1293,0.08576545502785884,367,0.0973474801061008
1,2538,0.16834704165561157,434,0.11511936339522547
2,1834,0.12165030512072168,293,0.07771883289124669
3,1670,0.11077208808702574,557,0.14774535809018569
4,1779,0.1180021225789334,250,0.06631299734748011
5,1046,0.06938179888564606,247,0.06551724137931035
6,1613,0.1069912443618997,470,0.1246684350132626
7,611,0.040527991509684266,614,0.16286472148541115
8,1974,0.13093658795436455,422,0.11193633952254642
9,718,0.047625364818254176,116,0.03076923076923077
