client_id,class_id,count
0,0,13
0,1,74
0,2,115
0,3,1
0,4,30
0,5,193
0,6,41
0,7,13
0,8,20
0,9,12
0,10,389
0,11,62
0,12,51
0,13,7
0,14,19
0,15,65
0,16,25
0,17,39
0,18,0
0,19,2
1,0,39
1,1,387
1,2,165
1,3,23
1,4,1
1,5,65
1,6,55
1,7,184
1,8,138
1,9,51
1,10,63
1,11,8
1,12,191
1,13,156
1,14,2
1,15,209
1,16,95
1,17,82
1,18,203
1,19,0
2,0,516
2,1,1
2,2,14
2,3,2
2,4,138
2,5,221
2,6,8
2,7,3
2,8,6
2,9,103
2,10,17
2,11,112
2,12,96
2,13,10
2,14,21
2,15,118
2,16,9
2,17,367
2,18,5
2,19,18
3,0,1
3,1,208
3,2,368
3,3,189
3,4,397
3,5,14
3,6,327
3,7,373
3,8,243
3,9,357
3,10,44
3,11,54
3,12,123
3,13,208
3,14,561
3,15,72
3,16,180
3,17,5
3,18,0
3,19,197
4,0,3
4,1,31
4,2,15
4,3,1
4,4,43
4,5,156
4,6,117
4,7,16
4,8,242
4,9,0
4,10,156
4,11,96
4,12,320
4,13,151
4,14,89
4,15,135
4,16,13
4,17,56
4,18,35
4,19,59
5,0,8
5,1,4
5,2,31
5,3,417
5,4,116
5,5,1
5,6,5
5,7,66
5,8,32
5,9,31
5,10,5
5,11,1
5,12,1
5,13,0
5,14,36
5,15,3
5,16,1
5,17,1
5,18,36
5,19,15
6,0,40
6,1,8
6,2,41
6,3,33
6,4,36
6,5,14
6,6,62
6,7,2
6,8,92
6,9,219
6,10,77
6,11,59
6,12,0
6,13,7
6,14,24
6,15,1
6,16,68
6,17,37
6,18,6
6,19,187
7,0,19
7,1,65
7,2,39
7,3,120
7,4,9
7,5,126
7,6,165
7,7,135
7,8,24
7,9,22
7,10,48
7,11,401
7,12,5
7,13,253
7,14,38
7,15,195
7,16,337
7,17,165
7,18,335
7,19,24
