client_id,class_id,count
0,0,12
0,1,71
0,2,92
0,3,0
0,4,1
0,5,86
0,6,236
0,7,13
0,8,5
0,9,284
0,10,20
0,11,54
0,12,4
0,13,118
0,14,96
0,15,258
0,16,1
0,17,8
0,18,8
0,19,0
1,0,38
1,1,369
1,2,133
1,3,16
1,4,123
1,5,292
1,6,6
1,7,184
1,8,195
1,9,13
1,10,66
1,11,11
1,12,130
1,13,138
1,14,45
1,15,0
1,16,93
1,17,63
1,18,0
1,19,243
2,0,502
2,1,1
2,2,12
2,3,1
2,4,352
2,5,18
2,6,18
2,7,3
2,8,194
2,9,14
2,10,9
2,11,73
2,12,91
2,13,38
2,14,133
2,15,85
2,16,1
2,17,1
2,18,120
2,19,3
3,0,1
3,1,198
3,2,296
3,3,133
3,4,38
3,5,205
3,6,42
3,7,372
3,8,26
3,9,86
3,10,13
3,11,261
3,12,27
3,13,89
3,14,100
3,15,0
3,16,1
3,17,180
3,18,42
3,19,22
4,0,3
4,1,30
4,2,12
4,3,1
4,4,103
4,5,2
4,6,1
4,7,16
4,8,74
4,9,13
4,10,150
4,11,25
4,12,9
4,13,74
4,14,1
4,15,35
4,16,341
4,17,34
4,18,106
4,19,16
5,0,8
5,1,4
5,2,25
5,3,295
5,4,32
5,5,19
5,6,39
5,7,65
5,8,19
5,9,0
5,10,177
5,11,68
5,12,30
5,13,4
5,14,124
5,15,36
5,16,59
5,17,230
5,18,121
5,19,1
6,0,39
6,1,7
6,2,33
6,3,24
6,4,8
6,5,165
6,6,9
6,7,2
6,8,53
6,9,84
6,10,167
6,11,243
6,12,26
6,13,147
6,14,46
6,15,67
6,16,51
6,17,57
6,18,186
6,19,6
7,0,18
7,1,62
7,2,31
7,3,85
7,4,68
7,5,0
7,6,17
7,7,134
7,8,26
7,9,208
7,10,185
7,11,53
7,12,454
7,13,126
7,14,13
7,15,115
7,16,163
7,17,27
7,18,6
7,19,12
8,0,18
8,1,36
8,2,154
8,3,231
8,4,45
8,5,3
8,6,412
8,7,3
8,8,205
8,9,93
8,10,12
8,11,5
8,12,16
8,13,58
8,14,232
8,15,202
8,16,18
8,17,152
8,18,31
8,19,199
