client_id,class_id,count
0,0,0
0,1,16
0,2,9
0,3,0
0,4,0
0,5,3
0,6,1
0,7,0
0,8,0
0,9,476
0,10,5
0,11,1
0,12,0
0,13,99
0,14,105
0,15,0
0,16,0
0,17,0
0,18,0
0,19,231
1,0,0
1,1,545
1,2,58
1,3,0
1,4,91
1,5,21
1,6,4
1,7,169
1,8,249
1,9,0
1,10,0
1,11,0
1,12,0
1,13,219
1,14,4
1,15,139
1,16,0
1,17,33
1,18,16
1,19,0
2,0,639
2,1,0
2,2,141
2,3,0
2,4,601
2,5,404
2,6,0
2,7,0
2,8,245
2,9,0
2,10,37
2,11,2
2,12,37
2,13,0
2,14,303
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
3,0,0
3,1,206
3,2,31
3,3,69
3,4,1
3,5,0
3,6,551
3,7,525
3,8,0
3,9,19
3,10,0
3,11,439
3,12,9
3,13,24
3,14,121
3,15,517
3,16,27
3,17,713
3,18,602
3,19,91
4,0,0
4,1,0
4,2,0
4,3,0
4,4,57
4,5,219
4,6,63
4,7,0
4,8,3
4,9,0
4,10,0
4,11,0
4,12,0
4,13,10
4,14,0
4,15,33
4,16,8
4,17,0
4,18,1
4,19,0
5,0,0
5,1,0
5,2,0
5,3,430
5,4,1
5,5,5
5,6,0
5,7,10
5,8,0
5,9,0
5,10,311
5,11,1
5,12,0
5,13,0
5,14,244
5,15,44
5,16,1
5,17,0
5,18,1
5,19,157
6,0,0
6,1,0
6,2,549
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,17
6,10,446
6,11,350
6,12,0
6,13,299
6,14,1
6,15,0
6,16,692
6,17,0
6,18,0
6,19,0
7,0,0
7,1,10
7,2,0
7,3,15
7,4,16
7,5,0
7,6,6
7,7,88
7,8,0
7,9,258
7,10,0
7,11,0
7,12,0
7,13,138
7,14,8
7,15,4
7,16,0
7,17,0
7,18,0
7,19,0
8,0,0
8,1,1
8,2,0
8,3,272
8,4,3
8,5,138
8,6,155
8,7,0
8,8,300
8,9,25
8,10,0
8,11,0
8,12,741
8,13,3
8,14,4
8,15,61
8,16,0
8,17,6
8,18,0
8,19,23
